Name,Gender,Age,Country,NOC,Year,City,Sport,Event,Medal
Jyri Tapani Aalto,M,31.0,Finland,FIN,2000,Sydney,Badminton,Badminton Men's Singles,None
Minna Maarit Aalto,F,34.0,Finland,FIN,2000,Sydney,Sailing,Sailing Women's Windsurfer,None
Timo Antero Aaltonen,M,31.0,Finland,FIN,2000,Sydney,Athletics,Athletics Men's Shot Put,None
Fritz Aanes,M,22.0,Norway,NOR,2000,Sydney,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",None
Pepijn Aardewijn,M,30.0,Netherlands,NED,2000,Sydney,Rowing,Rowing Men's Lightweight Double Sculls,None
Stefan Remco Aartsen,M,25.0,Netherlands,NED,2000,Sydney,Swimming,Swimming Men's 100 metres Butterfly,None
Stefan Remco Aartsen,M,25.0,Netherlands,NED,2000,Sydney,Swimming,Swimming Men's 200 metres Butterfly,None
Talaat Abada,M,24.0,Egypt,EGY,2000,Sydney,Taekwondo,Taekwondo Men's Flyweight,None
Pablo Martn Abal,M,23.0,Argentina,ARG,2000,Sydney,Swimming,Swimming Men's 100 metres Butterfly,None
Pablo Martn Abal,M,23.0,Argentina,ARG,2000,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,None
Jess Iory Aball Martnez,M,26.0,Cuba,CUB,2000,Sydney,Diving,Diving Men's Platform,None
Jouan Patrice Abanda Etong,M,22.0,Cameroon,CMR,2000,Sydney,Football,Football Men's Football,Gold
Enrique Abaroa Martnez,M,26.0,Mexico,MEX,2000,Sydney,Tennis,Tennis Men's Doubles,None
Agostino Abbagnale,M,34.0,Italy,ITA,2000,Sydney,Rowing,Rowing Men's Quadruple Sculls,Gold
Mahmoud Abbas,M,22.0,Egypt,EGY,2000,Sydney,Cycling,"Cycling Men's Road Race, Individual",None
Sohail Abbas,M,25.0,Pakistan,PAK,2000,Sydney,Hockey,Hockey Men's Hockey,None
Tran Abbasova,F,33.0,Azerbaijan,AZE,2000,Sydney,Weightlifting,Weightlifting Women's Featherweight,None
Christian Abbiati,M,23.0,Italy,ITA,2000,Sydney,Football,Football Men's Football,None
Alessandro Abbio,M,29.0,Italy,ITA,2000,Sydney,Basketball,Basketball Men's Basketball,None
"\"William \"\"Bill\"\" Abbott Jr.\"",M,46.0,Canada,CAN,2000,Sydney,Sailing,Sailing Mixed Three Person Keelboat,None
Matt Abbott,M,34.0,Canada,CAN,2000,Sydney,Sailing,Sailing Mixed Three Person Keelboat,None
Mohamed Ibrahim Abd El-Fatah Mohamed,M,22.0,Egypt,EGY,2000,Sydney,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",None
Mahmoud Abdel Aziz,M,25.0,Egypt,EGY,2000,Sydney,Volleyball,Volleyball Men's Volleyball,None
Mohamed Abdel Ellah,M,32.0,Egypt,EGY,2000,Sydney,Shooting,"Shooting Men's Air Rifle, 10 metres",None
Mohamed Abdel Fattah,M,23.0,Egypt,EGY,2000,Sydney,Cycling,"Cycling Men's Road Race, Individual",None
Heba Abdel Gawad,F,18.0,Egypt,EGY,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women's Duet,None
Sara Abdel Gawad,F,18.0,Egypt,EGY,2000,Sydney,Synchronized Swimming,Synchronized Swimming Women's Duet,None
Kamal Abdel Rehim,M,26.0,Egypt,EGY,2000,Sydney,Rowing,Rowing Men's Coxless Fours,None
Reskalla Mohamed Abdel Rehim,M,22.0,Egypt,EGY,2000,Sydney,Boxing,Boxing Men's Light-Flyweight,None
Ahmed Ali Abdel Samad,M,27.0,Egypt,EGY,2000,Sydney,Boxing,Boxing Men's Super-Heavyweight,None
Raouf Abdelraouf,M,22.0,Egypt,EGY,2000,Sydney,Gymnastics,Gymnastics Men's Individual All-Around,None
Raouf Abdelraouf,M,22.0,Egypt,EGY,2000,Sydney,Gymnastics,Gymnastics Men's Horse Vault,None
Raouf Abdelraouf,M,22.0,Egypt,EGY,2000,Sydney,Gymnastics,Gymnastics Men's Parallel Bars,None
Raouf Abdelraouf,M,22.0,Egypt,EGY,2000,Sydney,Gymnastics,Gymnastics Men's Rings,None
Raouf Abdelraouf,M,22.0,Egypt,EGY,2000,Sydney,Gymnastics,Gymnastics Men's Pommelled Horse,None
"\"Abdihakim \"\"Abdi\"\" Abdirahman\"",M,23.0,United States,USA,2000,Sydney,Athletics,"Athletics Men's 10,000 metres",None
Ali Abdo,M,19.0,Australia,AUS,2000,Sydney,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",None
Justin Abdou,M,29.0,Canada,CAN,2000,Sydney,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",None
Bashir Abdullah Abdul Aziz,M,22.0,Kuwait,KUW,2000,Sydney,Football,Football Men's Football,None
Chairil Anwar Abdul Aziz,M,28.0,Malaysia,MAS,2000,Sydney,Hockey,Hockey Men's Hockey,None
Shaimaa Abdul Aziz,F,19.0,Egypt,EGY,2000,Sydney,Table Tennis,Table Tennis Women's Singles,None
Shaimaa Abdul Aziz,F,19.0,Egypt,EGY,2000,Sydney,Table Tennis,Table Tennis Women's Doubles,None
Jefri Kiko Bolkiah Abdul Hakeem,M,27.0,Brunei,BRU,2000,Sydney,Shooting,Shooting Men's Skeet,None
Mohamed Abdul Hamid,M,19.0,Sudan,SUD,2000,Sydney,Swimming,Swimming Men's 50 metres Freestyle,None
Fatima Abdul Majeed Hameed Al-Kirashi,F,14.0,Bahrain,BRN,2000,Sydney,Swimming,Swimming Women's 50 metres Freestyle,None
Wan Azlan Abdullah,M,25.0,Malaysia,MAS,2000,Sydney,Swimming,Swimming Men's 400 metres Individual Medley,None
Arif Yadulla Abdullayev,M,32.0,Azerbaijan,AZE,2000,Sydney,Wrestling,"Wrestling Men's Featherweight, Freestyle",None
Mukhammad Kadyr Abdullayev,M,26.0,Uzbekistan,UZB,2000,Sydney,Boxing,Boxing Men's Light-Welterweight,Gold
Namiq Yadulla Abdullayev,M,29.0,Azerbaijan,AZE,2000,Sydney,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
Julius Shareef Abdur-Rahim,M,23.0,United States,USA,2000,Sydney,Basketball,Basketball Men's Basketball,Gold
Andrey Khakimovich Abduvaliyev,M,34.0,Uzbekistan,UZB,2000,Sydney,Athletics,Athletics Men's Hammer Throw,None
Shinnosuke Abe,M,21.0,Japan,JPN,2000,Sydney,Baseball,Baseball Men's Baseball,None
Yoshiyuki Abe,M,31.0,Japan,JPN,2000,Sydney,Cycling,"Cycling Men's Road Race, Individual",None
Mara Abel Diguez,F,25.0,Spain,ESP,2000,Sydney,Athletics,"Athletics Women's 10,000 metres",None
Gezahgne Abera,M,22.0,Ethiopia,ETH,2000,Sydney,Athletics,Athletics Men's Marathon,Gold
Michael Brent Abernathy,M,22.0,United States,USA,2000,Sydney,Baseball,Baseball Men's Baseball,Gold
Ruwani Abeymanne,F,30.0,Sri Lanka,SRI,2000,Sydney,Shooting,"Shooting Women's Air Pistol, 10 metres",None
Ruwani Abeymanne,F,30.0,Sri Lanka,SRI,2000,Sydney,Shooting,"Shooting Women's Sporting Pistol, 25 metres",None
Ashraf Abou El-Hassan,M,25.0,Egypt,EGY,2000,Sydney,Volleyball,Volleyball Men's Volleyball,None
Magdy Abou El-Magd,M,27.0,Egypt,EGY,2000,Sydney,Handball,Handball Men's Handball,None
Mohamed Moustafa Abou Elea,M,20.0,Egypt,EGY,2000,Sydney,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",None
Zaid Abou Hamed,M,30.0,Syria,SYR,2000,Sydney,Athletics,Athletics Men's 400 metres Hurdles,None
Zakaria Aboub,M,20.0,Morocco,MAR,2000,Sydney,Football,Football Men's Football,None
Ara Abrahamian,M,25.0,Sweden,SWE,2000,Sydney,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",None
Svetlana Olegovna Abrosimova,F,20.0,Russia,RUS,2000,Sydney,Basketball,Basketball Women's Basketball,None
Omar Abu-Fares,M,16.0,Jordan,JOR,2000,Sydney,Swimming,Swimming Men's 200 metres Individual Medley,None
Abudoureheman,M,22.0,China,CHN,2000,Sydney,Boxing,Boxing Men's Middleweight,None
Eusebio Acea Colarte,M,31.0,Cuba,CUB,2000,Sydney,Rowing,Rowing Men's Quadruple Sculls,None
Aziz Acharki,M,28.0,Germany,GER,2000,Sydney,Taekwondo,Taekwondo Men's Featherweight,None
"\"Onochie Lawrence \"\"Larry\"\" Achike\"",M,25.0,Great Britain,GBR,2000,Sydney,Athletics,Athletics Men's Triple Jump,None
Julius Achon,M,23.0,Uganda,UGA,2000,Sydney,Athletics,"Athletics Men's 1,500 metres",None
Urban Acman,M,24.0,Slovenia,SLO,2000,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,None
"\"Amelia Lynn \"\"Amy\"\" Acuff (-Harvey)\"",F,25.0,United States,USA,2000,Sydney,Athletics,Athletics Women's High Jump,None
Ali Enver Adakan,M,23.0,Turkey,TUR,2000,Sydney,Sailing,Sailing Men's One Person Dinghy,None
David Dixie Adams,M,30.0,South Africa,RSA,2000,Sydney,Tennis,Tennis Men's Doubles,None
"\"Gerard \"\"Gerry\"\" Adams\"",M,38.0,Australia,AUS,2000,Sydney,Fencing,"Fencing Men's epee, Individual",None
"\"Gerard \"\"Gerry\"\" Adams\"",M,38.0,Australia,AUS,2000,Sydney,Fencing,"Fencing Men's epee, Team",None
Charles Adamu,M,23.0,Ghana,GHA,2000,Sydney,Boxing,Boxing Men's Light-Heavyweight,None
Mehdi Addadi,M,28.0,Algeria,ALG,2000,Sydney,Swimming,Swimming Men's 100 metres Backstroke,None
Mehdi Addadi,M,28.0,Algeria,ALG,2000,Sydney,Swimming,Swimming Men's 100 metres Butterfly,None
Carolyn Adel,F,22.0,Suriname,SUR,2000,Sydney,Swimming,Swimming Women's 200 metres Individual Medley,None
Carolyn Adel,F,22.0,Suriname,SUR,2000,Sydney,Swimming,Swimming Women's 400 metres Individual Medley,None
